"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2020년 06월 07일","38,050","38,050","38,050","38,050","-","0.00%"
"2020년 06월 05일","38,050","37,050","38,050","36,700","2.40M","2.84%"
"2020년 06월 04일","37,000","39,400","40,150","36,850","1.37K","-4.15%"
"2020년 06월 03일","38,600","36,900","38,900","36,900","0.10K","6.48%"
"2020년 06월 02일","36,250","34,750","36,450","34,450","0.20K","4.77%"
"2020년 06월 01일","34,600","34,150","34,900","34,100","0.16K","1.76%"
"2020년 05월 31일","34,000","34,000","34,000","34,000","-","0.00%"
"2020년 05월 29일","34,000","33,800","34,350","33,300","4.46M","-0.58%"
"2020년 05월 28일","34,200","34,500","35,200","33,700","2.05K","3.32%"
"2020년 05월 27일","33,100","33,600","33,950","33,000","0.05K","1.53%"
"2020년 05월 26일","32,600","31,200","32,800","31,150","1.11K","3.99%"
"2020년 05월 25일","31,350","31,250","31,500","30,850","0.20K","0.80%"
"2020년 05월 24일","31,100","31,100","31,100","31,100","-","0.00%"
"2020년 05월 22일","31,100","32,300","32,300","31,000","2.04M","-2.81%"
"2020년 05월 21일","32,000","32,250","32,450","31,900","1.61M","-0.16%"
"2020년 05월 20일","32,050","31,650","32,100","31,650","0.00K","0.31%"
"2020년 05월 19일","31,950","32,250","32,750","31,800","0.12K","3.06%"
"2020년 05월 18일","31,000","31,300","31,350","30,850","0.01K","-1.43%"
"2020년 05월 17일","31,450","31,450","31,450","31,450","-","0.00%"
"2020년 05월 15일","31,450","31,200","31,550","30,800","2.53M","1.62%"
"2020년 05월 14일","30,950","31,000","31,200","30,900","0.34K","-1.59%"
"2020년 05월 13일","31,450","30,850","31,450","30,800","0.07K","-0.32%"
"2020년 05월 12일","31,550","32,150","32,250","31,450","1.90M","-1.87%"
"2020년 05월 11일","32,150","32,800","33,350","32,100","2.12M","-1.98%"
"2020년 05월 10일","32,800","32,800","32,800","32,800","-","0.00%"
"2020년 05월 08일","32,800","32,900","33,050","32,600","1.91M","1.08%"
"2020년 05월 07일","32,450","32,250","32,750","32,200","2.04M","-0.76%"
"2020년 05월 06일","32,700","33,100","33,550","32,400","3.27M","-0.91%"
"2020년 05월 05일","33,000","33,000","33,000","33,000","-","0.00%"
"2020년 05월 04일","33,000","33,650","33,800","32,800","3.11M","-5.04%"
"2020년 05월 03일","34,750","34,750","34,750","34,750","-","0.00%"
"2020년 04월 29일","34,750","34,200","35,000","34,050","2.47M","1.76%"
"2020년 04월 28일","34,150","34,850","35,950","33,800","3.68M","-0.15%"
"2020년 04월 27일","34,200","31,500","34,200","31,350","6.24M","9.97%"
"2020년 04월 26일","31,100","31,100","31,100","31,100","-","0.00%"
"2020년 04월 24일","31,100","31,100","31,650","31,000","1.57M","-0.64%"
"2020년 04월 23일","31,300","31,700","31,950","31,300","1.58M","-0.63%"
"2020년 04월 22일","31,500","31,100","31,600","30,700","1.81M","-0.63%"
"2020년 04월 21일","31,700","31,700","32,100","31,000","2.35M","-0.63%"
"2020년 04월 20일","31,900","32,700","32,700","31,850","2.71M","-1.39%"
"2020년 04월 19일","32,350","32,350","32,350","32,350","-","0.00%"
"2020년 04월 17일","32,350","32,250","33,000","32,250","3.02M","1.41%"
"2020년 04월 16일","31,900","32,350","32,500","31,300","4.02M","-3.92%"
"2020년 04월 15일","33,200","33,200","33,200","33,200","-","0.00%"
"2020년 04월 14일","33,200","32,750","33,350","32,550","1.59M","2.00%"
"2020년 04월 13일","32,550","33,850","34,000","32,400","2.53M","-3.27%"
"2020년 04월 12일","33,650","33,650","33,650","33,650","-","0.00%"
"2020년 04월 10일","33,650","33,150","33,950","32,600","3.14M","3.54%"
"2020년 04월 09일","32,500","32,700","32,800","32,100","1.75M","1.25%"
"2020년 04월 08일","32,100","32,750","32,900","32,100","2.32M","-3.02%"
"2020년 04월 07일","33,100","33,550","34,100","32,400","2.56M","0.76%"
"2020년 04월 06일","32,850","31,650","32,850","31,150","1.99M","5.46%"
"2020년 04월 05일","31,150","31,150","31,150","31,150","-","0.00%"
"2020년 04월 03일","31,150","31,150","32,250","30,900","2.22M","-1.74%"
"2020년 04월 02일","31,700","31,900","32,300","30,550","2.35M","0.32%"
"2020년 04월 01일","31,600","33,450","34,150","31,600","2.83M","-8.54%"
"2020년 03월 31일","34,550","34,900","35,850","33,900","2.22M","-0.58%"
"2020년 03월 30일","34,750","34,300","35,500","33,750","2.41M","-2.80%"
"2020년 03월 29일","35,750","35,750","35,750","35,750","-","0.00%"
"2020년 03월 27일","35,750","35,100","35,800","34,200","3.54M","8.66%"
"2020년 03월 26일","32,900","32,600","35,300","31,500","0.23K","2.81%"
"2020년 03월 25일","32,000","30,550","33,250","30,550","0.68K","9.78%"
"2020년 03월 24일","29,150","28,300","29,550","28,000","2.76M","5.42%"
"2020년 03월 23일","27,650","27,750","28,450","27,400","0.00K","-10.37%"
"2020년 03월 22일","30,850","30,850","30,850","30,850","-","0.00%"
"2020년 03월 20일","30,850","26,600","31,000","25,850","2.77M","18.43%"
"2020년 03월 19일","26,050","29,300","29,600","26,050","3.15M","-10.33%"
"2020년 03월 18일","29,050","29,200","30,400","28,800","3.16M","-2.68%"
"2020년 03월 17일","29,850","30,100","31,250","29,500","2.37M","-7.01%"
"2020년 03월 16일","32,100","33,250","33,850","31,850","2.12M","-2.43%"
"2020년 03월 15일","32,900","32,900","32,900","32,900","-","0.00%"
"2020년 03월 13일","32,900","30,150","33,600","29,550","3.15M","-1.64%"
"2020년 03월 12일","33,450","34,600","34,600","32,900","2.43M","-5.24%"
"2020년 03월 11일","35,300","35,000","36,200","34,850","1.84M","0.43%"
"2020년 03월 10일","35,150","34,800","35,450","34,800","2.11M","0.00%"
"2020년 03월 09일","35,150","36,350","36,500","35,100","1.99M","-6.14%"
"2020년 03월 08일","37,450","37,450","37,450","37,450","-","0.00%"
"2020년 03월 06일","37,450","38,200","38,350","37,300","1.61M","-3.23%"
"2020년 03월 05일","38,700","39,050","39,250","38,500","1.19M","-0.64%"
"2020년 03월 04일","38,950","38,500","39,200","38,150","1.60M","2.23%"
"2020년 03월 03일","38,100","38,300","38,900","38,000","1.83M","-0.78%"
"2020년 03월 02일","38,400","38,500","39,250","38,000","1.70M","-1.29%"
"2020년 02월 28일","38,900","38,800","38,900","38,100","2.33M","-1.27%"
"2020년 02월 27일","39,400","38,700","39,450","38,400","1.65M","0.90%"
"2020년 02월 26일","39,050","38,250","39,450","38,100","2.01M","-0.51%"
"2020년 02월 25일","39,250","39,200","39,600","38,700","1.78M","0.51%"
"2020년 02월 24일","39,050","40,500","40,900","38,900","1.87M","-5.10%"
"2020년 02월 21일","41,150","41,400","41,550","41,000","1.45M","-2.49%"
"2020년 02월 20일","42,200","42,500","42,500","41,500","1.47M","0.96%"
"2020년 02월 19일","41,800","42,550","42,600","41,400","1.81M","0.12%"
"2020년 02월 18일","41,750","42,200","42,450","41,400","1.53M","-1.53%"
"2020년 02월 17일","42,400","42,800","43,000","42,150","970.66K","-0.82%"
"2020년 02월 16일","42,750","42,750","42,750","42,750","-","0.00%"
"2020년 02월 14일","42,750","42,500","43,000","42,250","1.22M","0.00%"
"2020년 02월 13일","42,750","43,450","43,450","42,700","1.58M","-1.72%"
"2020년 02월 12일","43,500","43,150","43,700","42,900","2.13M","0.93%"
"2020년 02월 11일","43,100","43,450","43,550","42,950","1.31M","-0.35%"
"2020년 02월 10일","43,250","43,700","43,850","43,000","1.39M","-2.59%"
"2020년 02월 09일","44,400","44,400","44,400","44,400","-","0.00%"
"2020년 02월 07일","44,400","44,600","45,150","43,850","1.15M","-1.88%"
"2020년 02월 06일","45,250","44,700","45,500","44,000","1.08M","2.38%"
"2020년 02월 05일","44,200","43,550","44,400","43,550","1.32M","1.61%"
"2020년 02월 04일","43,500","44,150","44,500","43,400","1.29M","-0.80%"
"2020년 02월 03일","43,850","44,000","44,300","42,800","1.43M","-0.23%"
"2020년 02월 02일","43,950","43,950","43,950","43,950","-","0.00%"
"2020년 01월 31일","43,950","44,500","44,550","43,700","1.04M","0.34%"
"2020년 01월 30일","43,800","44,600","44,650","43,650","1.45M","-1.02%"
"2020년 01월 29일","44,250","45,000","45,000","43,900","1.36M","-0.56%"
"2020년 01월 28일","44,500","46,250","46,450","44,100","1.49M","-4.71%"
"2020년 01월 23일","46,700","46,900","47,450","46,500","892.79K","-1.79%"
"2020년 01월 22일","47,550","47,350","47,900","47,150","790.78K","0.42%"
"2020년 01월 21일","47,350","48,200","48,250","47,350","543.19K","-1.97%"
"2020년 01월 20일","48,300","47,750","48,700","47,300","1.04M","0.84%"
"2020년 01월 17일","47,900","47,300","47,950","47,150","1.06M","-0.21%"
"2020년 01월 16일","48,000","47,650","48,050","47,100","1.06M","0.21%"
"2020년 01월 15일","47,900","47,350","48,100","47,300","1.05M","0.10%"
"2020년 01월 14일","47,850","46,800","47,950","46,600","1.23M","2.46%"
"2020년 01월 13일","46,700","46,950","47,000","46,050","723.72K","-0.21%"
"2020년 01월 10일","46,800","46,500","46,950","46,100","1.22M","0.65%"
"2020년 01월 09일","46,500","46,400","47,300","46,150","1.37M","0.76%"
"2020년 01월 08일","46,150","46,100","46,550","45,800","1.20M","-1.81%"
"2020년 01월 07일","47,000","46,600","47,350","46,600","792.38K","0.86%"
"2020년 01월 06일","46,600","47,100","47,550","46,300","697.89K","-1.17%"
"2020년 01월 05일","47,150","47,150","47,150","47,150","-","0.00%"
"2020년 01월 03일","47,150","47,050","47,800","46,900","1.12M","1.29%"
"2020년 01월 02일","46,550","47,250","47,450","46,450","1.03M","-2.31%"
"2019년 12월 30일","47,650","48,050","48,050","47,100","955.27K","-0.83%"
"2019년 12월 29일","48,050","48,050","48,050","48,050","-","0.00%"
"2019년 12월 27일","48,050","47,750","48,300","47,600","1.28M","-2.73%"
"2019년 12월 26일","49,400","49,450","49,550","48,950","716.06K","-0.10%"
"2019년 12월 24일","49,450","49,900","50,000","49,200","602.10K","-0.90%"
"2019년 12월 23일","49,900","48,500","49,900","48,500","877.98K","1.73%"
"2019년 12월 20일","49,050","49,100","49,350","48,600","1.01M","-0.71%"
"2019년 12월 19일","49,400","49,500","49,600","48,850","1.00M","0.00%"
"2019년 12월 18일","49,400","48,100","49,400","48,050","1.32M","3.02%"
"2019년 12월 17일","47,950","48,500","48,700","47,150","2.13M","-2.24%"
"2019년 12월 16일","49,050","49,700","50,800","48,750","2.00M","-1.90%"
"2019년 12월 15일","50,000","50,000","50,000","50,000","-","0.00%"
"2019년 12월 13일","50,000","49,150","50,000","48,500","1.18M","3.41%"
"2019년 12월 12일","48,350","48,400","48,700","48,000","1.72M","0.73%"
"2019년 12월 11일","48,000","48,300","48,300","47,550","852.86K","-0.62%"
"2019년 12월 10일","48,300","47,950","48,400","47,850","785.16K","0.52%"
"2019년 12월 09일","48,050","47,700","48,050","47,300","1.05M","2.23%"
"2019년 12월 06일","47,000","46,500","47,000","46,450","750.69K","0.75%"
"2019년 12월 05일","46,650","46,200","47,000","46,150","985.69K","1.30%"
"2019년 12월 04일","46,050","45,950","46,150","45,400","924.89K","0.44%"
"2019년 12월 03일","45,850","45,950","46,100","45,250","889.94K","-0.22%"
"2019년 12월 02일","45,950","46,050","46,400","45,600","698.86K","-0.22%"
"2019년 11월 29일","46,050","46,700","46,850","45,900","753.53K","-1.07%"
"2019년 11월 28일","46,550","45,750","46,600","45,650","535.47K","0.98%"
"2019년 11월 27일","46,100","46,000","46,500","45,750","719.22K","0.55%"
"2019년 11월 26일","45,850","45,950","46,350","45,400","2.14M","-0.43%"
"2019년 11월 25일","46,050","46,700","46,700","45,850","1.22M","-0.32%"
"2019년 11월 22일","46,200","46,050","46,200","45,850","1.02M","1.20%"
"2019년 11월 21일","45,650","46,400","46,450","45,150","1.69M","-0.65%"
"2019년 11월 20일","45,950","44,800","46,550","44,650","2.14M","2.34%"
"2019년 11월 19일","44,900","44,050","44,950","43,650","1.30M","2.05%"
"2019년 11월 18일","44,000","43,600","44,000","43,400","734.49K","0.69%"
"2019년 11월 17일","43,700","43,700","43,700","43,700","-","0.00%"
"2019년 11월 15일","43,700","43,400","44,200","43,300","1.15M","0.00%"
"2019년 11월 14일","43,700","43,800","43,800","43,200","908.96K","0.69%"
"2019년 11월 13일","43,400","43,950","43,950","43,150","786.62K","-0.34%"
"2019년 11월 12일","43,550","43,050","43,600","43,000","619.59K","1.28%"
"2019년 11월 11일","43,000","43,300","43,550","43,000","635.49K","-0.69%"
"2019년 11월 08일","43,300","43,300","44,050","43,250","1.05M","0.23%"
"2019년 11월 07일","43,200","43,100","43,500","42,950","717.42K","-0.12%"
"2019년 11월 06일","43,250","43,800","44,200","43,200","1.27M","-1.59%"
"2019년 11월 05일","43,950","43,250","43,950","43,100","1.14M","1.74%"
"2019년 11월 04일","43,200","42,650","43,350","42,550","828.66K","2.13%"
"2019년 11월 01일","42,300","41,750","42,400","41,750","536.79K","0.83%"
"2019년 10월 31일","41,950","42,100","42,400","41,950","802.05K","-1.18%"
"2019년 10월 30일","42,450","42,600","42,950","42,300","708.65K","-0.35%"
"2019년 10월 29일","42,600","42,550","43,250","42,450","842.07K","-0.70%"
"2019년 10월 28일","42,900","42,900","43,150","42,750","780.94K","0.23%"
"2019년 10월 25일","42,800","42,650","43,600","42,650","1.04M","-2.73%"
"2019년 10월 24일","44,000","43,950","44,300","43,500","657.60K","0.23%"
"2019년 10월 23일","43,900","43,850","44,050","43,500","681.09K","-0.45%"
"2019년 10월 22일","44,100","43,150","44,100","43,150","920.71K","2.20%"
"2019년 10월 21일","43,150","42,900","43,600","42,850","669.65K","0.70%"
"2019년 10월 18일","42,850","43,250","43,350","42,650","702.97K","-0.12%"
"2019년 10월 17일","42,900","42,700","43,150","42,450","628.27K","0.47%"
"2019년 10월 16일","42,700","43,400","43,700","42,400","1.08M","0.00%"
"2019년 10월 15일","42,700","42,900","43,000","42,550","763.12K","-0.23%"
"2019년 10월 14일","42,800","42,800","43,250","42,650","926.24K","2.03%"
"2019년 10월 11일","41,950","41,700","42,250","41,550","945.69K","2.69%"
"2019년 10월 10일","40,850","41,200","41,650","40,750","1.34M","-2.04%"
"2019년 10월 08일","41,700","42,050","42,300","41,600","795.78K","1.09%"
"2019년 10월 07일","41,250","41,650","41,750","41,050","707.50K","-0.96%"
"2019년 10월 04일","41,650","41,950","42,250","41,650","750.10K","-0.48%"
"2019년 10월 02일","41,850","42,500","42,500","41,550","903.45K","-1.53%"
"2019년 10월 01일","42,500","43,250","43,300","42,450","742.19K","-0.47%"
"2019년 09월 30일","42,700","42,500","42,850","42,250","815.76K","0.71%"
"2019년 09월 29일","42,400","42,400","42,400","42,400","-","0.00%"
"2019년 09월 27일","42,400","44,100","44,150","42,150","1.12M","-3.53%"
"2019년 09월 26일","43,950","43,700","44,100","43,400","759.56K","1.03%"
"2019년 09월 25일","43,500","43,200","44,100","43,200","1.08M","-1.14%"
"2019년 09월 24일","44,000","44,000","44,300","43,550","880.76K","0.46%"
"2019년 09월 23일","43,800","44,150","44,150","43,450","629.65K","-0.90%"
"2019년 09월 20일","44,200","43,150","44,200","42,700","1.23M","3.03%"
"2019년 09월 19일","42,900","43,350","43,900","42,700","957.32K","-0.81%"
"2019년 09월 18일","43,250","43,250","44,100","43,100","849.19K","-1.93%"
"2019년 09월 17일","44,100","44,300","44,400","43,800","1.04M","-1.23%"
"2019년 09월 16일","44,650","43,700","44,900","43,700","1.14M","2.17%"
"2019년 09월 15일","43,700","43,700","43,700","43,700","-","0.00%"
"2019년 09월 11일","43,700","43,400","43,950","42,800","2.08M","2.82%"
"2019년 09월 10일","42,500","41,200","42,750","41,150","1.45M","3.28%"
"2019년 09월 09일","41,150","40,500","41,450","40,500","759.66K","1.48%"
"2019년 09월 06일","40,550","39,750","41,050","39,700","1.21M","2.01%"
"2019년 09월 05일","39,750","39,750","40,450","39,700","763.20K","-0.75%"
"2019년 09월 04일","40,050","39,500","40,050","39,250","842.92K","1.52%"
"2019년 09월 03일","39,450","39,450","39,900","39,300","590.51K","-0.38%"
"2019년 09월 02일","39,600","39,900","39,900","39,300","456.29K","-0.25%"
"2019년 09월 01일","39,700","39,700","39,700","39,700","-","0.00%"
"2019년 08월 30일","39,700","38,900","39,800","38,900","985.93K","2.19%"
"2019년 08월 29일","38,850","38,700","38,850","38,450","537.00K","0.39%"
"2019년 08월 28일","38,700","39,000","39,100","38,350","677.31K","0.13%"
"2019년 08월 27일","38,650","38,350","38,850","38,350","1.26M","0.39%"
"2019년 08월 26일","38,500","38,800","38,850","38,150","753.93K","-1.28%"
"2019년 08월 23일","39,000","39,000","39,400","38,950","502.08K","-0.76%"
"2019년 08월 22일","39,300","39,150","39,750","39,100","903.61K","-0.38%"
"2019년 08월 21일","39,450","39,350","39,550","39,000","867.79K","0.13%"
"2019년 08월 20일","39,400","38,850","39,550","38,800","888.75K","0.38%"
"2019년 08월 19일","39,250","38,850","39,350","38,550","707.51K","2.08%"
"2019년 08월 16일","38,450","39,000","39,000","37,750","1.15M","-0.65%"
"2019년 08월 15일","38,700","38,700","38,700","38,700","-","0.00%"
"2019년 08월 14일","38,700","38,750","39,100","38,450","1.09M","1.18%"
"2019년 08월 13일","38,250","38,650","38,800","38,250","972.33K","-1.80%"
"2019년 08월 12일","38,950","39,450","39,500","38,950","704.52K","-0.76%"
"2019년 08월 11일","39,250","39,250","39,250","39,250","-","0.00%"
"2019년 08월 09일","39,250","39,450","39,850","39,200","882.75K","0.00%"
"2019년 08월 08일","39,250","39,450","40,050","39,200","2.08M","-0.76%"
"2019년 08월 07일","39,550","40,100","40,200","39,400","1.03M","-1.74%"
"2019년 08월 06일","40,250","40,400","40,650","39,600","1.48M","-1.59%"
"2019년 08월 05일","40,900","41,100","41,700","40,750","1.15M","-1.45%"
"2019년 08월 04일","41,500","41,500","41,500","41,500","-","0.00%"
"2019년 08월 02일","41,500","42,650","42,950","41,200","1.34M","-3.94%"
"2019년 08월 01일","43,200","43,450","43,900","42,900","800.66K","-0.46%"
"2019년 07월 31일","43,400","42,900","43,600","42,800","844.22K","0.12%"
"2019년 07월 30일","43,350","43,750","43,750","43,000","565.18K","-0.57%"
"2019년 07월 29일","43,600","43,950","44,100","43,400","613.70K","-0.46%"
"2019년 07월 26일","43,800","43,550","44,100","43,450","1.07M","-0.79%"
"2019년 07월 25일","44,150","45,400","45,450","44,150","1.04M","-2.97%"
"2019년 07월 24일","45,500","46,100","46,150","45,400","486.28K","-1.30%"
"2019년 07월 23일","46,100","45,900","46,100","45,300","718.70K","1.43%"
"2019년 07월 22일","45,450","45,300","45,500","44,700","477.97K","-0.11%"
"2019년 07월 19일","45,500","45,250","45,700","45,150","620.29K","1.11%"
"2019년 07월 18일","45,000","44,600","45,200","44,400","679.49K","0.22%"
"2019년 07월 17일","44,900","44,350","44,900","44,300","562.21K","0.45%"
"2019년 07월 16일","44,700","44,400","44,700","44,050","631.27K","1.36%"
"2019년 07월 15일","44,100","43,500","44,400","43,500","727.26K","0.57%"
"2019년 07월 12일","43,850","43,950","43,950","43,400","598.51K","1.15%"
"2019년 07월 11일","43,350","43,000","43,700","42,950","1.16M","0.00%"
"2019년 07월 10일","43,350","43,500","43,850","43,150","608.16K","0.00%"
"2019년 07월 09일","43,350","43,950","44,150","43,300","743.93K","-0.57%"
"2019년 07월 08일","43,600","44,400","44,450","43,600","840.17K","-1.69%"
"2019년 07월 05일","44,350","45,250","45,300","44,300","1.33M","-2.21%"
"2019년 07월 04일","45,350","45,200","45,450","44,750","467.55K","0.67%"
"2019년 07월 03일","45,050","45,950","46,100","44,950","856.41K","-2.17%"
"2019년 07월 02일","46,050","46,250","46,500","46,000","735.63K","-1.39%"
"2019년 07월 01일","46,700","46,400","46,900","46,300","970.93K","1.85%"
"2019년 06월 28일","45,850","46,000","46,100","45,750","756.13K","0.22%"
"2019년 06월 27일","45,750","45,050","45,900","44,900","877.13K","0.77%"
"2019년 06월 26일","45,400","44,950","45,400","44,500","625.34K","1.00%"
"2019년 06월 25일","44,950","45,000","45,400","44,650","501.46K","-0.22%"
